name,hp,attack,defense,sp_attack,sp_defense,speed,types,all_moves,image_url,game_source,is_mega,national_dex_hint,pokeapi_id
Mega Dragonite,91,124,115,145,125,100,"['dragon', 'flying']","['Mega Punch', 'Fire Punch', 'Ice Punch', 'Thunder Punch', 'Razor Wind', 'Cut', 'Wing Attack', 'Fly', 'Bind', 'Slam', 'Mega Kick', 'Headbutt', 'Horn Drill', 'Body Slam', 'Wrap', 'Take Down', 'Double Edge', 'Leer', 'Roar', 'Flamethrower', 'Mist', 'Water Gun', 'Hydro Pump', 'Surf', 'Ice Beam', 'Blizzard', 'Bubble Beam', 'Hyper Beam', 'Low Kick', 'Strength', 'Dragon Rage', 'Fire Spin', 'Thunderbolt', 'Thunder Wave', 'Thunder', 'Earthquake', 'Toxic', 'Agility', 'Rage', 'Mimic', 'Double Team', 'Light Screen', 'Haze', 'Reflect', 'Bide', 'Metronome', 'Fire Blast', 'Waterfall', 'Swift', 'Skull Bash', 'Rest', 'Rock Slide', 'Substitute', 'Snore', 'Curse', 'Protect', 'Scary Face', 'Mud Slap', 'Zap Cannon', 'Icy Wind', 'Detect', 'Outrage', 'Sandstorm', 'Endure', 'Swagger', 'Fury Cutter', 'Steel Wing', 'Attract', 'Sleep Talk', 'Heal Bell', 'Return', 'Frustration', 'Safeguard', 'Dynamic Punch', 'Dragon Breath', 'Encore', 'Iron Tail', 'Hidden Power', 'Twister', 'Rain Dance', 'Sunny Day', 'Extreme Speed', 'Rock Smash', 'Whirlpool', 'Heat Wave', 'Hail', 'Facade', 'Focus Punch', 'Helping Hand', 'Superpower', 'Brick Break', 'Secret Power', 'Dive', 'Weather Ball', 'Air Cutter', 'Rock Tomb', 'Aerial Ace', 'Dragon Claw', 'Dragon Dance', 'Shock Wave', 'Water Pulse', 'Roost', 'Natural Gift', 'Tailwind', 'Fling', 'Aqua Tail', 'Air Slash', 'Dragon Pulse', 'Dragon Rush', 'Focus Blast', 'Giga Impact', 'Defog', 'Draco Meteor', 'Iron Head', 'Stone Edge', 'Captivate', 'Aqua Jet', 'Ominous Wind', 'Hone Claws', 'Round', 'Sky Drop', 'Incinerate', 'Bulldoze', 'Dragon Tail', 'Hurricane', 'Confide', 'Power Up Punch', 'Brutal Swing', 'Stomping Tantrum', 'Body Press', 'Breaking Swipe', 'Scale Shot', 'Dual Wingbeat', 'Tera Blast', 'Ice Spinner', 'Snowscape', 'Chilling Water', 'Dragon Cheer']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10281.png,Champions,True,,10281
Meganium,80,82,100,83,100,80,['grass'],"['Swords Dance', 'Cut', 'Vine Whip', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Growl', 'Hyper Beam', 'Counter', 'Strength', 'Leech Seed', 'Razor Leaf', 'Solar Beam', 'Poison Powder', 'Petal Dance', 'Earthquake', 'Toxic', 'Mimic', 'Double Team', 'Light Screen', 'Reflect', 'Flash', 'Rest', 'Substitute', 'Snore', 'Curse', 'Flail', 'Protect', 'Mud Slap', 'Detect', 'Outrage', 'Giga Drain', 'Endure', 'Charm', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Safeguard', 'Encore', 'Sweet Scent', 'Iron Tail', 'Synthesis', 'Hidden Power', 'Sunny Day', 'Ancient Power', 'Rock Smash', 'Facade', 'Nature Power', 'Helping Hand', 'Ingrain', 'Magic Coat', 'Knock Off', 'Endeavor', 'Secret Power', 'Weather Ball', 'Aromatherapy', 'Fake Tears', 'Bullet Seed', 'Frenzy Plant', 'Magical Leaf', 'Natural Gift', 'Worry Seed', 'Seed Bomb', 'Energy Ball', 'Giga Impact', 'Zen Headbutt', 'Rock Climb', 'Leaf Storm', 'Captivate', 'Grass Knot', 'Round', 'Echoed Voice', 'Heal Pulse', 'Grass Pledge', 'Bulldoze', 'Dragon Tail', 'Work Up', 'Petal Blizzard', 'Grassy Terrain', 'Confide', 'Solar Blade', 'Laser Focus', 'Stomping Tantrum', 'Body Press', 'Grassy Glide', 'Tera Blast', 'Trailblaze']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/154.png,"Champions,Legends Z-A",False,,154
Mega Meganium,80,92,115,143,115,80,"['grass', 'fairy']","['Swords Dance', 'Cut', 'Vine Whip', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Growl', 'Hyper Beam', 'Counter', 'Strength', 'Leech Seed', 'Razor Leaf', 'Solar Beam', 'Poison Powder', 'Petal Dance', 'Earthquake', 'Toxic', 'Mimic', 'Double Team', 'Light Screen', 'Reflect', 'Flash', 'Rest', 'Substitute', 'Snore', 'Curse', 'Flail', 'Protect', 'Mud Slap', 'Detect', 'Outrage', 'Giga Drain', 'Endure', 'Charm', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Safeguard', 'Encore', 'Sweet Scent', 'Iron Tail', 'Synthesis', 'Hidden Power', 'Sunny Day', 'Ancient Power', 'Rock Smash', 'Facade', 'Nature Power', 'Helping Hand', 'Ingrain', 'Magic Coat', 'Knock Off', 'Endeavor', 'Secret Power', 'Weather Ball', 'Aromatherapy', 'Fake Tears', 'Bullet Seed', 'Frenzy Plant', 'Magical Leaf', 'Natural Gift', 'Worry Seed', 'Seed Bomb', 'Energy Ball', 'Giga Impact', 'Zen Headbutt', 'Rock Climb', 'Leaf Storm', 'Captivate', 'Grass Knot', 'Round', 'Echoed Voice', 'Heal Pulse', 'Grass Pledge', 'Bulldoze', 'Dragon Tail', 'Work Up', 'Petal Blizzard', 'Grassy Terrain', 'Confide', 'Solar Blade', 'Laser Focus', 'Stomping Tantrum', 'Body Press', 'Grassy Glide', 'Tera Blast', 'Trailblaze']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10282.png,Champions,True,,10282
Typhlosion,78,84,78,109,85,100,['fire'],"['Mega Punch', 'Fire Punch', 'Thunder Punch', 'Cut', 'Double Kick', 'Mega Kick', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Leer', 'Roar', 'Ember', 'Flamethrower', 'Hyper Beam', 'Low Kick', 'Counter', 'Seismic Toss', 'Strength', 'Solar Beam', 'Fire Spin', 'Earthquake', 'Dig', 'Toxic', 'Quick Attack', 'Night Shade', 'Mimic', 'Double Team', 'Smokescreen', 'Confuse Ray', 'Defense Curl', 'Fire Blast', 'Swift', 'Rest', 'Rock Slide', 'Substitute', 'Flame Wheel', 'Snore', 'Curse', 'Reversal', 'Spite', 'Protect', 'Mud Slap', 'Detect', 'Endure', 'Rollout', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Dynamic Punch', 'Iron Tail', 'Hidden Power', 'Sunny Day', 'Shadow Ball', 'Rock Smash', 'Heat Wave', 'Will O Wisp', 'Facade', 'Focus Punch', 'Nature Power', 'Helping Hand', 'Brick Break', 'Endeavor', 'Eruption', 'Secret Power', 'Blast Burn', 'Overheat', 'Rock Tomb', 'Extrasensory', 'Aerial Ace', 'Howl', 'Covet', 'Calm Mind', 'Gyro Ball', 'Natural Gift', 'Fling', 'Flare Blitz', 'Focus Blast', 'Giga Impact', 'Shadow Claw', 'Fire Fang', 'Zen Headbutt', 'Rock Climb', 'Lava Plume', 'Iron Head', 'Captivate', 'Flame Charge', 'Round', 'Hex', 'Incinerate', 'Inferno', 'Fire Pledge', 'Bulldoze', 'Work Up', 'Wild Charge', 'Play Rough', 'Confide', 'Power Up Punch', 'Laser Focus', 'Throat Chop', 'Burn Up', 'Stomping Tantrum', 'Burning Jealousy', 'Poltergeist', 'Scorching Sands', 'Tera Blast', 'Temper Flare']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/157.png,Champions,False,,157
Feraligatr,85,105,100,79,83,78,['water'],"['Mega Punch', 'Ice Punch', 'Scratch', 'Swords Dance', 'Cut', 'Mega Kick', 'Headbutt', 'Body Slam', 'Take Down', 'Thrash', 'Double Edge', 'Leer', 'Bite', 'Roar', 'Water Gun', 'Hydro Pump', 'Surf', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Low Kick', 'Counter', 'Seismic Toss', 'Strength', 'Earthquake', 'Dig', 'Toxic', 'Agility', 'Rage', 'Mimic', 'Screech', 'Double Team', 'Waterfall', 'Rest', 'Rock Slide', 'Slash', 'Substitute', 'Thief', 'Snore', 'Curse', 'Flail', 'Spite', 'Protect', 'Scary Face', 'Mud Slap', 'Icy Wind', 'Detect', 'Outrage', 'Endure', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Dynamic Punch', 'Iron Tail', 'Metal Claw', 'Hidden Power', 'Rain Dance', 'Crunch', 'Ancient Power', 'Rock Smash', 'Whirlpool', 'Uproar', 'Hail', 'Flatter', 'Facade', 'Focus Punch', 'Helping Hand', 'Superpower', 'Brick Break', 'Endeavor', 'Secret Power', 'Dive', 'Hydro Cannon', 'Fake Tears', 'Rock Tomb', 'Muddy Water', 'Aerial Ace', 'Block', 'Dragon Claw', 'Dragon Dance', 'Water Pulse', 'Natural Gift', 'Fling', 'Aqua Tail', 'Dragon Pulse', 'Focus Blast', 'Giga Impact', 'Avalanche', 'Shadow Claw', 'Ice Fang', 'Rock Climb', 'Captivate', 'Aqua Jet', 'Hone Claws', 'Round', 'Chip Away', 'Scald', 'Water Pledge', 'Bulldoze', 'Dragon Tail', 'Work Up', 'Snarl', 'Confide', 'Power Up Punch', 'Psychic Fangs', 'Stomping Tantrum', 'Liquidation', 'Breaking Swipe', 'Scale Shot', 'Lash Out', 'Flip Turn', 'Tera Blast', 'Trailblaze', 'Chilling Water']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/160.png,"Champions,Legends Z-A",False,,160
Mega Feraligatr,85,160,125,89,93,78,"['water', 'dragon']","['Mega Punch', 'Ice Punch', 'Scratch', 'Swords Dance', 'Cut', 'Mega Kick', 'Headbutt', 'Body Slam', 'Take Down', 'Thrash', 'Double Edge', 'Leer', 'Bite', 'Roar', 'Water Gun', 'Hydro Pump', 'Surf', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Low Kick', 'Counter', 'Seismic Toss', 'Strength', 'Earthquake', 'Dig', 'Toxic', 'Agility', 'Rage', 'Mimic', 'Screech', 'Double Team', 'Waterfall', 'Rest', 'Rock Slide', 'Slash', 'Substitute', 'Thief', 'Snore', 'Curse', 'Flail', 'Spite', 'Protect', 'Scary Face', 'Mud Slap', 'Icy Wind', 'Detect', 'Outrage', 'Endure', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Dynamic Punch', 'Iron Tail', 'Metal Claw', 'Hidden Power', 'Rain Dance', 'Crunch', 'Ancient Power', 'Rock Smash', 'Whirlpool', 'Uproar', 'Hail', 'Flatter', 'Facade', 'Focus Punch', 'Helping Hand', 'Superpower', 'Brick Break', 'Endeavor', 'Secret Power', 'Dive', 'Hydro Cannon', 'Fake Tears', 'Rock Tomb', 'Muddy Water', 'Aerial Ace', 'Block', 'Dragon Claw', 'Dragon Dance', 'Water Pulse', 'Natural Gift', 'Fling', 'Aqua Tail', 'Dragon Pulse', 'Focus Blast', 'Giga Impact', 'Avalanche', 'Shadow Claw', 'Ice Fang', 'Rock Climb', 'Captivate', 'Aqua Jet', 'Hone Claws', 'Round', 'Chip Away', 'Scald', 'Water Pledge', 'Bulldoze', 'Dragon Tail', 'Work Up', 'Snarl', 'Confide', 'Power Up Punch', 'Psychic Fangs', 'Stomping Tantrum', 'Liquidation', 'Breaking Swipe', 'Scale Shot', 'Lash Out', 'Flip Turn', 'Tera Blast', 'Trailblaze', 'Chilling Water']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10283.png,Champions,True,,10283
Ariados,70,90,70,60,70,40,"['bug', 'poison']","['Swords Dance', 'Body Slam', 'Double Edge', 'Poison Sting', 'Pin Missile', 'Disable', 'Hyper Beam', 'Absorb', 'Solar Beam', 'String Shot', 'Dig', 'Toxic', 'Psychic', 'Agility', 'Night Shade', 'Mimic', 'Screech', 'Double Team', 'Focus Energy', 'Constrict', 'Leech Life', 'Flash', 'Fury Swipes', 'Rest', 'Substitute', 'Thief', 'Spider Web', 'Snore', 'Curse', 'Spite', 'Protect', 'Scary Face', 'Sludge Bomb', 'Giga Drain', 'Endure', 'Swagger', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Megahorn', 'Baton Pass', 'Hidden Power', 'Sunny Day', 'Facade', 'Knock Off', 'Secret Power', 'Signal Beam', 'Bounce', 'Natural Gift', 'Sucker Punch', 'Toxic Spikes', 'Poison Jab', 'Night Slash', 'X Scissor', 'Bug Buzz', 'Giga Impact', 'Shadow Sneak', 'Cross Poison', 'Captivate', 'Bug Bite', 'Hone Claws', 'Venoshock', 'Rage Powder', 'Sludge Wave', 'Acid Spray', 'Foul Play', 'Round', 'Hex', 'Struggle Bug', 'Electroweb', 'Sticky Web', 'Fell Stinger', 'Confide', 'Venom Drench', 'Infestation', 'Toxic Thread', 'Throat Chop', 'Lunge', 'Smart Strike', 'Stomping Tantrum', 'Skitter Smack', 'Tera Blast', 'Pounce', 'Trailblaze']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png,"Champions,Legends Z-A",False,,168
Ampharos,90,75,85,115,90,55,['electric'],"['Mega Punch', 'Fire Punch', 'Ice Punch', 'Thunder Punch', 'Mega Kick', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Growl', 'Roar', 'Hyper Beam', 'Low Kick', 'Counter', 'Seismic Toss', 'Strength', 'Thunder Shock', 'Thunderbolt', 'Thunder Wave', 'Thunder', 'Dig', 'Toxic', 'Agility', 'Mimic', 'Double Team', 'Confuse Ray', 'Defense Curl', 'Light Screen', 'Reflect', 'Swift', 'Flash', 'Rest', 'Substitute', 'Snore', 'Curse', 'Cotton Spore', 'Protect', 'Zap Cannon', 'Outrage', 'Endure', 'Swagger', 'Attract', 'Sleep Talk', 'Heal Bell', 'Return', 'Frustration', 'Safeguard', 'Dynamic Punch', 'Iron Tail', 'Hidden Power', 'Rain Dance', 'Sunny Day', 'Rock Smash', 'Facade', 'Focus Punch', 'Charge', 'Helping Hand', 'Brick Break', 'Endeavor', 'Secret Power', 'Signal Beam', 'Shock Wave', 'Natural Gift', 'Fling', 'Magnet Rise', 'Dragon Pulse', 'Power Gem', 'Focus Blast', 'Giga Impact', 'Rock Climb', 'Discharge', 'Captivate', 'Charge Beam', 'Electro Ball', 'After You', 'Round', 'Echoed Voice', 'Volt Switch', 'Bulldoze', 'Dragon Tail', 'Electroweb', 'Wild Charge', 'Cotton Guard', 'Ion Deluge', 'Confide', 'Eerie Impulse', 'Magnetic Flux', 'Electric Terrain', 'Dazzling Gleam', 'Power Up Punch', 'Laser Focus', 'Brutal Swing', 'Stomping Tantrum', 'Breaking Swipe', 'Meteor Beam', 'Tera Blast', 'Trailblaze', 'Dragon Cheer', 'Supercell Slam']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/181.png,"Champions,Legends Z-A",False,,181
Mega Ampharos,90,95,105,165,110,45,"['electric', 'dragon']","['Mega Punch', 'Fire Punch', 'Ice Punch', 'Thunder Punch', 'Mega Kick', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Growl', 'Roar', 'Hyper Beam', 'Low Kick', 'Counter', 'Seismic Toss', 'Strength', 'Thunder Shock', 'Thunderbolt', 'Thunder Wave', 'Thunder', 'Dig', 'Toxic', 'Agility', 'Mimic', 'Double Team', 'Confuse Ray', 'Defense Curl', 'Light Screen', 'Reflect', 'Swift', 'Flash', 'Rest', 'Substitute', 'Snore', 'Curse', 'Cotton Spore', 'Protect', 'Zap Cannon', 'Outrage', 'Endure', 'Swagger', 'Attract', 'Sleep Talk', 'Heal Bell', 'Return', 'Frustration', 'Safeguard', 'Dynamic Punch', 'Iron Tail', 'Hidden Power', 'Rain Dance', 'Sunny Day', 'Rock Smash', 'Facade', 'Focus Punch', 'Charge', 'Helping Hand', 'Brick Break', 'Endeavor', 'Secret Power', 'Signal Beam', 'Shock Wave', 'Natural Gift', 'Fling', 'Magnet Rise', 'Dragon Pulse', 'Power Gem', 'Focus Blast', 'Giga Impact', 'Rock Climb', 'Discharge', 'Captivate', 'Charge Beam', 'Electro Ball', 'After You', 'Round', 'Echoed Voice', 'Volt Switch', 'Bulldoze', 'Dragon Tail', 'Electroweb', 'Wild Charge', 'Cotton Guard', 'Ion Deluge', 'Confide', 'Eerie Impulse', 'Magnetic Flux', 'Electric Terrain', 'Dazzling Gleam', 'Power Up Punch', 'Laser Focus', 'Brutal Swing', 'Stomping Tantrum', 'Breaking Swipe', 'Meteor Beam', 'Tera Blast', 'Trailblaze', 'Dragon Cheer', 'Supercell Slam']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10045.png,Champions,True,,10045
Azumarill,100,50,80,60,80,50,"['water', 'fairy']","['Mega Punch', 'Ice Punch', 'Slam', 'Mega Kick', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Tail Whip', 'Water Gun', 'Hydro Pump', 'Surf', 'Ice Beam', 'Blizzard', 'Bubble Beam', 'Hyper Beam', 'Seismic Toss', 'Strength', 'Dig', 'Toxic', 'Mimic', 'Double Team', 'Defense Curl', 'Light Screen', 'Metronome', 'Waterfall', 'Swift', 'Amnesia', 'Bubble', 'Splash', 'Rest', 'Substitute', 'Snore', 'Curse', 'Protect', 'Mud Slap', 'Icy Wind', 'Endure', 'Charm', 'Rollout', 'Swagger', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Dynamic Punch', 'Encore', 'Iron Tail', 'Hidden Power', 'Rain Dance', 'Future Sight', 'Rock Smash', 'Whirlpool', 'Uproar', 'Hail', 'Facade', 'Focus Punch', 'Helping Hand', 'Superpower', 'Brick Break', 'Knock Off', 'Secret Power', 'Dive', 'Hyper Voice', 'Fake Tears', 'Muddy Water', 'Bounce', 'Mud Shot', 'Covet', 'Water Sport', 'Water Pulse', 'Natural Gift', 'Fling', 'Aqua Ring', 'Aqua Tail', 'Focus Blast', 'Giga Impact', 'Captivate', 'Grass Knot', 'Round', 'Scald', 'Bulldoze', 'Work Up', 'Disarming Voice', 'Draining Kiss', 'Misty Terrain', 'Play Rough', 'Confide', 'Power Up Punch', 'Brutal Swing', 'Liquidation', 'Steel Roller', 'Misty Explosion', 'Tera Blast', 'Ice Spinner', 'Snowscape', 'Trailblaze', 'Chilling Water', 'Alluring Voice']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/184.png,Champions,False,,184
Politoed,90,75,75,90,100,70,['water'],"['Pound', 'Double Slap', 'Mega Punch', 'Ice Punch', 'Mega Kick', 'Headbutt', 'Body Slam', 'Take Down', 'Double Edge', 'Mist', 'Water Gun', 'Hydro Pump', 'Surf', 'Ice Beam', 'Blizzard', 'Bubble Beam', 'Hyper Beam', 'Low Kick', 'Counter', 'Seismic Toss', 'Strength', 'Earthquake', 'Dig', 'Toxic', 'Psychic', 'Hypnosis', 'Mimic', 'Screech', 'Double Team', 'Defense Curl', 'Haze', 'Metronome', 'Waterfall', 'Swift', 'Amnesia', 'Splash', 'Rest', 'Substitute', 'Thief', 'Snore', 'Curse', 'Protect', 'Belly Drum', 'Mud Slap', 'Perish Song', 'Icy Wind', 'Detect', 'Endure', 'Swagger', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Dynamic Punch', 'Encore', 'Hidden Power', 'Rain Dance', 'Psych Up', 'Rock Smash', 'Whirlpool', 'Uproar', 'Hail', 'Facade', 'Focus Punch', 'Helping Hand', 'Brick Break', 'Endeavor', 'Secret Power', 'Dive', 'Hyper Voice', 'Weather Ball', 'Muddy Water', 'Bounce', 'Mud Shot', 'Water Pulse', 'Natural Gift', 'Payback', 'Fling', 'Focus Blast', 'Earth Power', 'Giga Impact', 'Captivate', 'Low Sweep', 'Round', 'Echoed Voice', 'Scald', 'Bulldoze', 'Confide', 'Power Up Punch', 'Liquidation', 'Tera Blast', 'Chilling Water']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/186.png,Champions,False,,186
Espeon,65,65,60,130,95,110,['psychic'],"['Pay Day', 'Cut', 'Sand Attack', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Tail Whip', 'Bite', 'Growl', 'Roar', 'Psybeam', 'Hyper Beam', 'Thunder Wave', 'Dig', 'Toxic', 'Confusion', 'Psychic', 'Quick Attack', 'Mimic', 'Double Team', 'Confuse Ray', 'Light Screen', 'Reflect', 'Focus Energy', 'Swift', 'Dream Eater', 'Flash', 'Rest', 'Substitute', 'Nightmare', 'Snore', 'Curse', 'Protect', 'Mud Slap', 'Zap Cannon', 'Detect', 'Endure', 'Charm', 'Swagger', 'Attract', 'Sleep Talk', 'Heal Bell', 'Return', 'Frustration', 'Baton Pass', 'Iron Tail', 'Morning Sun', 'Hidden Power', 'Rain Dance', 'Sunny Day', 'Psych Up', 'Shadow Ball', 'Future Sight', 'Facade', 'Helping Hand', 'Trick', 'Magic Coat', 'Skill Swap', 'Imprison', 'Secret Power', 'Hyper Voice', 'Weather Ball', 'Fake Tears', 'Signal Beam', 'Covet', 'Magical Leaf', 'Calm Mind', 'Gravity', 'Natural Gift', 'Copycat', 'Power Swap', 'Last Resort', 'Power Gem', 'Giga Impact', 'Zen Headbutt', 'Trick Room', 'Captivate', 'Grass Knot', 'Psyshock', 'Telekinesis', 'Magic Room', 'Round', 'Echoed Voice', 'Stored Power', 'Ally Switch', 'Retaliate', 'Work Up', 'Draining Kiss', 'Confide', 'Dazzling Gleam', 'Baby Doll Eyes', 'Laser Focus', 'Psychic Terrain', 'Psychic Fangs', 'Expanding Force', 'Tera Blast', 'Trailblaze', 'Alluring Voice', 'Psychic Noise']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/196.png,"Champions,Legends Z-A",False,,196
Umbreon,95,65,110,60,130,65,['dark'],"['Pay Day', 'Cut', 'Sand Attack', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Tail Whip', 'Bite', 'Growl', 'Roar', 'Hyper Beam', 'Thunder Wave', 'Dig', 'Toxic', 'Psychic', 'Quick Attack', 'Mimic', 'Screech', 'Double Team', 'Confuse Ray', 'Light Screen', 'Reflect', 'Focus Energy', 'Swift', 'Dream Eater', 'Flash', 'Rest', 'Substitute', 'Thief', 'Nightmare', 'Snore', 'Curse', 'Spite', 'Protect', 'Scary Face', 'Feint Attack', 'Mud Slap', 'Zap Cannon', 'Detect', 'Endure', 'Charm', 'Swagger', 'Mean Look', 'Attract', 'Sleep Talk', 'Heal Bell', 'Return', 'Frustration', 'Baton Pass', 'Pursuit', 'Iron Tail', 'Moonlight', 'Hidden Power', 'Rain Dance', 'Sunny Day', 'Crunch', 'Psych Up', 'Shadow Ball', 'Torment', 'Facade', 'Taunt', 'Helping Hand', 'Skill Swap', 'Snatch', 'Secret Power', 'Hyper Voice', 'Weather Ball', 'Fake Tears', 'Covet', 'Calm Mind', 'Natural Gift', 'Payback', 'Assurance', 'Copycat', 'Guard Swap', 'Last Resort', 'Sucker Punch', 'Dark Pulse', 'Giga Impact', 'Captivate', 'Wonder Room', 'Foul Play', 'Round', 'Echoed Voice', 'Stored Power', 'Retaliate', 'Work Up', 'Snarl', 'Confide', 'Baby Doll Eyes', 'Laser Focus', 'Throat Chop', 'Lash Out', 'Tera Blast', 'Trailblaze', 'Alluring Voice']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/197.png,"Champions,Legends Z-A",False,,197
Slowking,95,75,80,100,110,30,"['water', 'psychic']","['Mega Punch', 'Pay Day', 'Fire Punch', 'Ice Punch', 'Thunder Punch', 'Mega Kick', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Growl', 'Disable', 'Flamethrower', 'Water Gun', 'Hydro Pump', 'Surf', 'Ice Beam', 'Blizzard', 'Psybeam', 'Hyper Beam', 'Counter', 'Seismic Toss', 'Strength', 'Thunder Wave', 'Earthquake', 'Dig', 'Toxic', 'Confusion', 'Psychic', 'Mimic', 'Double Team', 'Light Screen', 'Reflect', 'Metronome', 'Fire Blast', 'Waterfall', 'Swift', 'Amnesia', 'Dream Eater', 'Flash', 'Rest', 'Rock Slide', 'Tri Attack', 'Substitute', 'Nightmare', 'Snore', 'Curse', 'Protect', 'Mud Slap', 'Zap Cannon', 'Icy Wind', 'Endure', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Safeguard', 'Dynamic Punch', 'Iron Tail', 'Hidden Power', 'Rain Dance', 'Sunny Day', 'Psych Up', 'Shadow Ball', 'Future Sight', 'Rock Smash', 'Whirlpool', 'Hail', 'Facade', 'Focus Punch', 'Trick', 'Magic Coat', 'Recycle', 'Brick Break', 'Yawn', 'Skill Swap', 'Imprison', 'Secret Power', 'Dive', 'Slack Off', 'Weather Ball', 'Rock Tomb', 'Signal Beam', 'Muddy Water', 'Iron Defense', 'Block', 'Mud Shot', 'Calm Mind', 'Water Pulse', 'Brine', 'Natural Gift', 'Fling', 'Trump Card', 'Aqua Tail', 'Power Gem', 'Drain Punch', 'Focus Blast', 'Giga Impact', 'Nasty Plot', 'Avalanche', 'Zen Headbutt', 'Trick Room', 'Captivate', 'Grass Knot', 'Wonder Room', 'Psyshock', 'Telekinesis', 'Foul Play', 'After You', 'Round', 'Echoed Voice', 'Stored Power', 'Ally Switch', 'Scald', 'Heal Pulse', 'Incinerate', 'Quash', 'Bulldoze', 'Dragon Tail', 'Razor Shell', 'Confide', 'Power Up Punch', 'Laser Focus', 'Psychic Terrain', 'Liquidation', 'Expanding Force', 'Tera Blast', 'Chilly Reception', 'Snowscape', 'Chilling Water', 'Psychic Noise']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/199.png,"Champions,Legends Z-A",False,,199
